,country_id,latitude,longitude,bright_ti4,bright_ti5,scan,track,acq_date,acq_time,frp,daynight
273,DEU,53.14211,8.67529,301.3,275.9,0.57,0.43,2020-03-01,100,1.6,N
274,DEU,53.52287,9.90728,304.0,276.1,0.52,0.42,2020-03-01,100,2.0,N
275,DEU,53.52363,9.89941,313.5,276.2,0.52,0.42,2020-03-01,100,2.0,N
276,DEU,51.29798,7.01201,306.2,276.3,0.42,0.45,2020-03-01,106,1.4,N
277,DEU,51.36448,6.71155,319.9,277.0,0.43,0.46,2020-03-01,106,3.9,N
278,DEU,51.36497,6.70529,322.1,274.9,0.43,0.46,2020-03-01,106,3.9,N
279,DEU,51.3682,6.71866,298.8,274.6,0.43,0.46,2020-03-01,106,0.8,N
280,DEU,51.3692,6.70612,341.4,283.1,0.43,0.46,2020-03-01,106,3.9,N
281,DEU,51.42617,6.73508,313.2,274.5,0.43,0.46,2020-03-01,106,2.3,N
282,DEU,51.46045,6.73575,326.9,276.4,0.43,0.46,2020-03-01,106,2.6,N
283,DEU,51.46418,6.74292,319.3,276.0,0.43,0.46,2020-03-01,106,2.3,N
284,DEU,51.48307,6.72123,334.4,278.8,0.43,0.46,2020-03-01,106,9.4,N
285,DEU,51.48357,6.71497,338.8,275.6,0.43,0.46,2020-03-01,106,6.2,N
286,DEU,51.48406,6.70869,338.4,278.2,0.43,0.46,2020-03-01,106,6.2,N
287,DEU,51.48456,6.70237,323.1,278.0,0.43,0.46,2020-03-01,106,3.1,N
288,DEU,51.4883,6.70955,303.6,277.0,0.43,0.46,2020-03-01,106,1.2,N
